time,temp,pH,DissolvedOxygen,Conductivity,Turbidity,PermanganateIndex,AmmoniaNitrogen,TotalPhosphorus,TotalNitrogen
2020/12/12 0:00,20.8,6.73,7.04,143.9,6.6,3.68,0.031,0.036,1.05
2020/12/12 4:00,20.7,6.56,5.8,143.5,5.9,3.32,0.035,0.033,1.01
2020/12/12 8:00,20.6,6.69,6.71,143.9,5.9,3.44,0.036,0.033,1.16
2020/12/12 12:00,21.2,6.97,8.28,144.3,7,4.2,0.028,0.036,1.12
2020/12/12 16:00,21.2,6.88,8.02,144.2,6.3,4.23,0.03,0.035,1.12
2020/12/12 20:00,21.2,7.05,8.42,143.5,6.2,3.87,0.027,0.034,1.13
2020/12/13 0:00,21.3,6.89,7.77,142.2,7.1,3.87,0.027,0.034,1.13
2020/12/13 4:00,21.3,6.86,7.55,141.6,7.2,3.53,0.027,0.032,1.02
2020/12/13 8:00,21.3,6.86,7.65,141,6.3,3.79,0.033,0.032,1.07
2020/12/13 12:00,21.5,6.9,7.81,141.8,6.9,3.65,0.026,0.033,1.08
2020/12/13 16:00,21.8,6.98,8.07,141.7,6.3,3.93,0.027,0.034,1.1
2020/12/13 20:00,21.5,6.82,7.27,141.6,7.1,3.54,0.029,0.032,1.09
2020/12/14 0:00,21.5,6.83,7.32,141.1,6.6,3.54,0.029,0.032,1.09
2020/12/14 4:00,21.5,6.78,6.97,141.1,6,3.46,0.03,0.033,1.03
2020/12/14 8:00,21.3,6.62,6.1,141.4,5.7,3.6,0.042,0.032,1.09
2020/12/14 12:00,20.9,6.65,6.16,141.5,6.2,3.49,0.036,0.035,1.05
2020/12/14 16:00,20.6,6.6,5.56,143.1,6.2,3.47,0.032,0.034,1.08
2020/12/14 20:00,20.2,6.59,5.77,143.8,8.7,3.65,0.036,0.036,1.14
2020/12/15 0:00,20,6.56,5.37,144.6,9,3.65,0.036,0.036,1.14
2020/12/15 4:00,19.5,6.57,5.63,144.7,10.6,3.5,0.042,0.038,1.02
2020/12/15 8:00,19.2,6.62,5.93,145.1,8.8,3.63,0.049,0.038,1.1
2020/12/15 12:00,19.2,6.66,6.31,145.8,10.4,3.51,0.039,0.041,1.06
2020/12/15 16:00,19.1,6.68,6.45,146.9,12.2,3.55,0.036,0.045,1.05
2020/12/15 20:00,18.9,6.6,5.74,148.2,13.2,3.43,0.048,0.043,1.36
2020/12/16 0:00,18.7,6.58,5.6,149,14.6,3.43,0.048,0.043,1.36
2020/12/16 4:00,18.5,6.58,5.69,149.6,13.1,3.53,0.056,0.044,1.4
2020/12/16 8:00,18.4,6.6,5.89,149.6,10.8,3.52,0.061,0.042,1.19
2020/12/16 12:00,18.4,6.64,6.23,149.8,12.4,3.7,0.046,0.044,1.17
2020/12/16 16:00,18.4,6.67,6.46,149.6,10.8,3.55,0.038,0.043,1.15
2020/12/16 20:00,18.1,6.64,6.27,149.8,11.1,3.71,0.04,0.045,1.15
2020/12/17 0:00,18,6.63,6.08,149.8,13,3.71,0.04,0.045,1.15
2020/12/17 4:00,17.9,6.62,6.11,150.3,12.4,3.52,0.045,0.043,1.14
2020/12/17 8:00,17.8,6.63,6.17,150.5,13.9,3.64,0.057,0.042,1.21
2020/12/17 12:00,17.8,6.66,6.48,150.6,13.8,3.61,0.04,0.043,1.14
2020/12/17 16:00,17.8,6.69,6.75,150.5,12.6,3.68,0.034,0.045,1.44
2020/12/17 20:00,17.6,6.67,6.4,150.2,12.3,3.51,0.036,0.044,1.17
2020/12/18 0:00,17.5,6.66,6.51,150.6,11,3.51,0.036,0.044,1.17
2020/12/18 4:00,17.3,6.66,6.36,151.2,11.6,3.46,0.046,0.045,1.41
2020/12/18 8:00,17.1,6.66,6.45,150.7,11,3.34,0.056,0.044,1.23
2020/12/18 12:00,17.4,6.73,6.93,151.1,11.6,3.9,0.038,0.044,1.41
2020/12/18 16:00,17.5,6.75,7.36,150.6,10.8,3.79,0.039,0.045,1.2
2020/12/18 20:00,17.4,6.75,6.9,150.6,11.9,3.73,0.034,0.044,1.15
2020/12/19 0:00,17.3,6.73,7.25,150.1,12.5,3.73,0.034,0.044,1.15
2020/12/19 4:00,17,6.71,7.13,150.2,10.2,3.49,0.028,0.044,1.1
2020/12/19 8:00,17,6.72,7.04,150.1,11.5,3.49,0.038,0.041,1.18
